Date,Symbol,Quantity,Price,Trade Type
2023-01-10 05:00:00+00:00,CNC,51.0,77.73,buy
2023-01-10 05:00:00+00:00,MOH,13.0,298.0,buy
2023-01-10 05:00:00+00:00,TSLA,33.0,121.07,buy
2023-01-10 05:00:00+00:00,TYL,12.0,318.2,buy
2023-01-10 05:00:00+00:00,ABBV,24.0,162.23,buy
2023-01-10 05:00:00+00:00,KIM,193.0,20.7,buy
2023-01-10 05:00:00+00:00,STLD,-39.0,101.5,sell
2023-01-10 05:00:00+00:00,NFLX,-12.0,311.07,sell
2023-01-10 05:00:00+00:00,GNRC,-38.0,104.0,sell
2023-01-10 05:00:00+00:00,CZR,-93.0,42.85,sell
2023-01-10 05:00:00+00:00,NCLH,-299.0,13.37,sell
2023-01-10 05:00:00+00:00,IDXX,-9.0,442.8,sell
2023-01-10 05:00:00+00:00,UAL,-93.0,43.04,sell
2023-01-10 05:00:00+00:00,NUE,-28.0,142.13,sell
2023-01-10 05:00:00+00:00,WBD,-339.0,11.8,sell
2023-01-10 05:00:00+00:00,FSLR,-25.0,159.6,sell
2023-01-10 05:00:00+00:00,MOS,-84.0,44.83,close
2023-01-10 05:00:00+00:00,CF,-46.0,83.0,close
2023-01-10 05:00:00+00:00,SMCI,-49.0,78.37,close
2023-01-10 05:00:00+00:00,WMB,-122.0,32.14,close
2023-01-10 05:00:00+00:00,CNC,-51.0,76.12,close
2023-01-10 05:00:00+00:00,MOH,-13.0,292.0,close
2023-01-10 05:00:00+00:00,TSLA,-33.0,118.85,close
2023-01-10 05:00:00+00:00,TYL,-12.0,313.07,close
2023-01-10 05:00:00+00:00,ABBV,-24.0,159.64,close
2023-01-10 05:00:00+00:00,KIM,-193.0,20.38,close
2023-01-10 05:00:00+00:00,STLD,39.0,106.86,close
2023-01-10 05:00:00+00:00,NFLX,12.0,327.54,close
2023-01-10 05:00:00+00:00,GNRC,38.0,109.56,close
2023-01-10 05:00:00+00:00,CZR,93.0,45.3,close
2023-01-10 05:00:00+00:00,NCLH,299.0,14.14,close
2023-01-10 05:00:00+00:00,IDXX,9.0,469.11,close
2023-01-10 05:00:00+00:00,UAL,93.0,45.75,close
2023-01-10 05:00:00+00:00,NUE,28.0,151.16,close
2023-01-10 05:00:00+00:00,WBD,339.0,12.56,close
2023-01-10 05:00:00+00:00,FSLR,25.0,171.01,close
2023-01-11 05:00:00+00:00,TFX,14.0,260.44,buy
